order_id,customer_id,product_id,quantity,unit_price,total_price,order_date
167,63,7,1,14.51,14.51,2022-07-29
478,72,7,2,3.8,7.6,2021-09-06
616,26,4,3,9.82,29.46,2020-01-02
5,63,3,2,12.1,24.2,2023-07-29
439,37,3,2,8.0,16.0,2022-05-05
535,21,6,1,8.01,8.01,2022-05-30
33,86,2,3,9.7,29.1,2022-03-17
389,47,5,3,3.76,11.28,2023-07-24
495,37,5,3,14.62,43.86,2022-12-05
237,12,2,1,7.24,7.24,2020-12-23
354,14,6,4,8.96,35.84,2021-06-25
510,2,7,3,8.18,24.54,2022-08-23
329,62,2,4,13.47,53.88,2020-11-19
97,36,7,4,1.61,6.44,2022-01-07
28,96,1,1,7.43,7.43,2021-11-02
65,2,4,3,13.84,41.52,2020-06-08
436,69,6,3,6.63,19.89,2021-10-26
421,7,1,3,1.03,3.09,2021-06-08
639,14,6,1,8.16,8.16,2020-04-04
219,30,3,4,1.76,7.04,2021-09-20
55,26,1,1,14.17,14.17,2022-12-01
481,55,4,2,11.73,23.46,2020-07-22
632,3,5,4,11.4,45.6,2020-07-21
20,31,6,2,6.22,12.44,2022-11-13
25,9,2,1,6.04,6.04,2023-07-04
666,87,5,3,11.4,34.2,2022-02-07
651,72,4,2,12.59,25.18,2023-03-03
308,55,2,3,9.66,28.98,2021-01-11
630,16,7,1,13.61,13.61,2023-02-18
60,98,3,1,2.23,2.23,2021-11-08
104,73,6,1,13.74,13.74,2022-11-25
251,82,2,4,7.41,29.64,2023-11-18
108,28,4,1,8.26,8.26,2021-10-01
682,88,5,3,5.17,15.51,2021-01-27
368,62,4,4,5.14,20.56,2020-12-29
206,43,6,3,1.42,4.26,2020-01-30
18,86,3,3,7.4,22.2,2020-08-14
642,54,2,1,6.03,6.03,2020-11-17
458,58,1,3,2.46,7.38,2020-03-28
554,5,3,1,10.86,10.86,2021-07-25
24,8,4,4,3.73,14.92,2023-09-23
261,80,3,1,6.54,6.54,2020-08-21
249,52,7,3,11.0,33.0,2023-10-08
696,23,4,4,13.67,54.68,2020-05-15
125,81,3,3,1.04,3.12,2021-08-28
522,42,5,2,6.41,12.82,2023-08-09
649,15,2,4,1.52,6.08,2020-06-09
169,15,2,4,7.4,29.6,2023-10-28
71,53,6,3,5.31,15.93,2021-11-05
568,52,5,1,8.07,8.07,2020-03-06
379,39,6,3,12.08,36.24,2023-12-29
525,43,7,2,5.77,11.54,2020-02-03
675,53,3,3,13.47,40.41,2023-06-08
592,86,5,2,14.34,28.68,2023-03-02
150,16,5,2,4.77,9.54,2020-05-09
105,52,5,1,14.14,14.14,2022-10-18
169,33,7,1,11.61,11.61,2021-02-13
479,30,4,1,1.91,1.91,2023-10-13
312,14,6,4,1.13,4.52,2020-09-21
219,94,7,1,3.52,3.52,2023-01-15
167,1,4,2,1.95,3.9,2021-04-01
407,2,5,4,6.15,24.6,2022-03-05
312,83,4,3,12.57,37.71,2022-07-21
17,36,4,1,10.75,10.75,2020-03-04
84,40,5,3,2.18,6.54,2020-05-22
360,58,6,4,8.26,33.04,2022-04-28
390,93,6,3,2.47,7.41,2021-12-20
417,37,2,3,5.0,15.0,2022-05-03
407,75,4,2,13.34,26.68,2023-01-01
62,84,5,4,2.51,10.04,2021-05-04
295,56,2,3,3.91,11.73,2022-04-10
416,4,1,1,10.43,10.43,2023-10-15
354,56,3,3,6.24,18.72,2020-12-05
188,19,6,3,7.04,21.12,2022-06-28
188,82,1,4,5.46,21.84,2021-08-18
520,39,3,1,13.75,13.75,2022-12-16
656,10,5,3,8.48,25.44,2021-05-27
358,66,1,4,8.01,32.04,2023-05-19
78,90,1,3,5.46,16.38,2023-08-15
180,39,6,3,9.9,29.7,2020-03-23
310,32,2,1,13.42,13.42,2021-05-19
163,54,2,2,8.02,16.04,2022-10-30
161,19,3,1,5.94,5.94,2023-06-08
470,29,1,3,12.14,36.42,2022-03-30
590,62,2,2,4.13,8.26,2021-03-20
402,100,4,3,2.54,7.62,2020-08-31
592,97,2,3,7.24,21.72,2021-11-04
682,95,7,1,3.86,3.86,2020-10-18
143,67,3,3,2.55,7.65,2020-10-25
597,33,5,3,12.47,37.41,2020-02-21
228,94,1,2,4.94,9.88,2023-12-09
542,43,3,1,14.95,14.95,2021-01-20
425,6,1,2,11.67,23.34,2020-02-29
95,62,3,4,4.68,18.72,2022-04-06
41,29,4,2,10.88,21.76,2022-11-24
311,87,4,3,12.07,36.21,2022-09-13
484,83,5,4,7.53,30.12,2020-04-08
185,5,4,2,3.71,7.42,2020-02-29
613,72,6,3,8.06,24.18,2023-12-02
248,45,6,1,6.42,6.42,2021-08-20
276,46,4,2,4.58,9.16,2020-02-05
309,23,6,3,11.34,34.02,2021-04-29
248,25,1,2,13.15,26.3,2020-08-31
208,16,1,3,4.44,13.32,2021-04-02
302,2,3,2,5.67,11.34,2021-05-12
525,35,7,3,4.83,14.49,2023-12-30
453,6,7,3,5.42,16.26,2021-09-14
313,42,1,1,3.91,3.91,2022-02-03
132,10,4,1,12.26,12.26,2022-01-17
665,31,5,1,12.74,12.74,2020-02-08
629,96,3,1,2.6,2.6,2021-05-11
130,76,1,1,12.72,12.72,2020-04-24
500,42,5,3,1.81,5.43,2023-10-04
653,80,6,2,12.45,24.9,2022-11-06
501,73,3,4,3.38,13.52,2022-05-30
12,44,2,3,12.59,37.77,2020-01-11
118,5,6,3,7.53,22.59,2022-05-20
632,98,7,4,13.3,53.2,2021-08-05
393,94,5,1,3.87,3.87,2023-11-30
515,14,2,2,14.67,29.34,2020-04-29
293,65,3,4,7.4,29.6,2023-09-28
426,9,5,4,5.35,21.4,2020-02-06
23,52,7,1,2.84,2.84,2022-07-27
272,61,7,1,3.87,3.87,2021-02-03
365,26,5,3,4.35,13.05,2023-08-09
431,72,3,3,2.63,7.89,2021-10-01
10,10,4,4,5.88,23.52,2021-02-20
679,63,2,2,1.72,3.44,2020-12-23
545,48,1,3,6.17,18.51,2020-04-27
594,69,6,2,14.55,29.1,2021-08-14
410,84,6,3,7.38,22.14,2021-11-08
